Events,CategoryID,Date,Days
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/11/2018,Sunday
Ellen Cheever in Her Own Words,Academic,11/11/2018,Sunday
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/11/2018,Sunday
"Angels in America, Part One: Millennium Approaches, by Tony Kushner",Music/Theatre/Dance,11/11/2018,Sunday
VT Choirs in Concert,Music/Theatre/Dance,11/11/2018,Sunday
Veteran's Day,Break/Holiday,11/12/2018,Monday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/12/2018,Monday
Veterans Day Observances,Corps,11/12/2018,Monday
Ellen Cheever in Her Own Words,Academic,11/12/2018,Monday
Campus Kitchen Monday Delivery,Service,11/12/2018,Monday
"Moss Arts Center Exhibition: ""SWARM""",Arts,11/12/2018,Monday
"Moss Arts Center Exhibition: ""Multiply""",Arts,11/12/2018,Monday
US Student Fulbright Info Session,Academic,11/12/2018,Monday
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/12/2018,Monday
US Student Fulbright Info Session,Academic,11/12/2018,Monday
US Student Fulbright Info Session,Academic,11/12/2018,Monday
Strawberry Post Plant Field Walk,Seminar/Conference,11/12/2018,Monday
US Student Fulbright Info Session,Academic,11/12/2018,Monday
Professional and Scholarship Development Series - The art of interviews and conversation,Academic,11/12/2018,Monday
MBA Programs Online Information Session,National Capital Region,11/12/2018,Monday
"Future Presence: Where Virtual Reality Came From, How it Works, and Where it's Going",Academic,11/12/2018,Monday
"Angels in America, Part One: Millennium Approaches, by Tony Kushner",Music/Theatre/Dance,11/12/2018,Monday
"Music on Mondays, featuring Ariana Wyatt, soprano | Elizabeth Crone, flute | Richard Masters, piano",Music/Theatre/Dance,11/12/2018,Monday
Veterans Day Remembrance Ceremony,Corps,11/12/2018,Monday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/13/2018,Tuesday
Ellen Cheever in Her Own Words,Academic,11/13/2018,Tuesday
Campus Kitchen Tuesday Delivery,Service,11/13/2018,Tuesday
Landowner Breakfast Series: Conservation Opportunities for Your Land,Seminar/Conference,11/13/2018,Tuesday
Strawberry Post Plant Field Walk,Seminar/Conference,11/13/2018,Tuesday
Virginia Vineyard New Grower Workshop,Seminar/Conference,11/13/2018,Tuesday
Ag Breakfast Series,Seminar/Conference,11/13/2018,Tuesday
"Moss Arts Center Exhibition: ""SWARM""",Arts,11/13/2018,Tuesday
"Moss Arts Center Exhibition: ""Multiply""",Arts,11/13/2018,Tuesday
Fall Breeding Beef Cattle Roundup,Seminar/Conference,11/13/2018,Tuesday
Center for Humanities Research Talk: Chicago and the Re-Making of American Real Estate,Academic,11/13/2018,Tuesday
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/13/2018,Tuesday
Strawberry Post Plant Field Walk,Seminar/Conference,11/13/2018,Tuesday
PPE Reading Group,Academic,11/13/2018,Tuesday
Police Officers Who Kill Unarmed Black Men Are Seldom Prosecuted or Convicted: Why?,Academic,11/13/2018,Tuesday
Fall Breeding Beef Cattle Roundup,Seminar/Conference,11/13/2018,Tuesday
"Virginia Master Cattlemen's Program - 7 modules, 7 dates",Seminar/Conference,11/13/2018,Tuesday
VT in Riva & Rome Information Session,Academic,11/13/2018,Tuesday
Through Feminist Eyes with Dr. S. Moon Cassinelli,Academic,11/13/2018,Tuesday
Through Feminist Eyes,Diversity,11/13/2018,Tuesday
"Angels in America, Part One: Millennium Approaches, by Tony Kushner",Music/Theatre/Dance,11/13/2018,Tuesday
Jazz Ensembles,Music/Theatre/Dance,11/13/2018,Tuesday
Film Screening of DEMOCRATS,Academic,11/13/2018,Tuesday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/14/2018,Wednesday
Ellen Cheever in Her Own Words,Academic,11/14/2018,Wednesday
Campus Kitchen Wednesday Delivery (1st shift),Service,11/14/2018,Wednesday
Campus Kitchen Thursday Delivery,Service,11/14/2018,Wednesday
Leading Across Generations,Administration,11/14/2018,Wednesday
Campus Kitchen Wedneday Delivery (2nd Shift),Service,11/14/2018,Wednesday
Interested in Leasing or Buying Farmland? What are your options?,VTC,11/14/2018,Wednesday
"Moss Arts Center Exhibition: ""SWARM""",Arts,11/14/2018,Wednesday
"Moss Arts Center Exhibition: ""Multiply""",Arts,11/14/2018,Wednesday
Corps of Cadets Blood Drive,Corps,11/14/2018,Wednesday
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/14/2018,Wednesday
London Calling! Information Session,Special Event,11/14/2018,Wednesday
"Information Session: VT Arabic Oman, Summer 2019",Academic,11/14/2018,Wednesday
CAT 90 and 91 Private Pesticide Recertification - Shenandoah Valley,Service,11/14/2018,Wednesday
Sigma Delta Pi Free Tutoring,Academic,11/14/2018,Wednesday
Women and Gender Studies Film Series,Movie/Film,11/14/2018,Wednesday
"Theatre Re: ""The Nature of Forgetting""",Arts,11/14/2018,Wednesday
"Angels in America, Part One: Millennium Approaches, by Tony Kushner",Music/Theatre/Dance,11/14/2018,Wednesday
Venuture Builders Workshop: Incorporation and IP Basics ,Entrepreneurship,11/14/2018,Wednesday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/15/2018,Thursday
Ellen Cheever in Her Own Words,Academic,11/15/2018,Thursday
Listening Skills,Administration,11/15/2018,Thursday
"Moss Arts Center Exhibition: ""SWARM""",Arts,11/15/2018,Thursday
"Moss Arts Center Exhibition: ""Multiply""",Arts,11/15/2018,Thursday
Spotted Lanternfly Educational Meeting for Christmas Tree Growers and Nursery Professionals,Service,11/15/2018,Thursday
Staff Senate Meeting,Seminar/Conference,11/15/2018,Thursday
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/15/2018,Thursday
Corps of Cadets Blood Drive,Corps,11/15/2018,Thursday
Rabbits: Pasture-Raised Commercial Production,Seminar/Conference,11/15/2018,Thursday
CAT 90 and 91 Private Pesticide License Recertification - Culpeper,Service,11/15/2018,Thursday
Medal of Honor Recipient Master Sgt Leroy Petry Speaks,Corps,11/15/2018,Thursday
Evening MBA Information Session - Falls Church,National Capital Region,11/15/2018,Thursday
"Evan Jones, baritone",Music/Theatre/Dance,11/15/2018,Thursday
Payday,Administration,11/16/2018,Friday
Final Exam Reschedule Request Deadline,Academic,11/16/2018,Friday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/16/2018,Friday
Ellen Cheever in Her Own Words,Academic,11/16/2018,Friday
Winter Forage Conference,Seminar/Conference,11/16/2018,Friday
"Moss Arts Center Exhibition: ""SWARM""",Arts,11/16/2018,Friday
"Moss Arts Center Exhibition: ""Multiply""",Arts,11/16/2018,Friday
Corps of Cadets Blood Drive,Corps,11/16/2018,Friday
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/16/2018,Friday
In Search of a Sense of Place,College of Architecture and Urban Studies,11/16/2018,Friday
Campus Kitchen Friday Delivery,Service,11/16/2018,Friday
Classics Club Meeting,Club,11/16/2018,Friday
Auditions: Miscast Gala! The APO Fall 2018 Cabaret,Music/Theatre/Dance,11/16/2018,Friday
"Canceled: Student Recital: Paul Mack, tenor",Music/Theatre/Dance,11/16/2018,Friday
Hokies in the Middle East Alumni Networking Event,Special Event,11/16/2018,Friday
Thanksgiving Holiday Begins,Academic,11/17/2018,Saturday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/17/2018,Saturday
Ellen Cheever in Her Own Words,Academic,11/17/2018,Saturday
Winter Forage Conference,Seminar/Conference,11/17/2018,Saturday
Southwest Virginia Maple Syrup School,Seminar/Conference,11/17/2018,Saturday
Pregame HokieTalks,Academic,11/17/2018,Saturday
CALS Alumni and Friends Tailgate,Special Event,11/17/2018,Saturday
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/17/2018,Saturday
