Events,CategoryID,Date,Days
Art Exhibit: Community Narrative,Arts,9/16/2018,Sunday
Fall Census,Administration,9/17/2018,Monday
Campus Kitchen Monday Delivery,Service,9/17/2018,Monday
Art Exhibit: Community Narrative,Arts,9/17/2018,Monday
Professional and Scholarship Development Series - Writing Personal Statements,Academic,9/17/2018,Monday
Campus Kitchen Tuesday Delivery,Service,9/18/2018,Tuesday
Setting and Achieving Goals,Administration,9/18/2018,Tuesday
Content Creation Tips and Tricks for ...,Seminar/Conference,9/18/2018,Tuesday
Using Illustrator,Seminar/Conference,9/18/2018,Tuesday
Art Exhibit: Community Narrative,Arts,9/18/2018,Tuesday
Using InDesign,Seminar/Conference,9/18/2018,Tuesday
Student Event Series: Tour of the Hahn Horticulture Garden,Special Event,9/18/2018,Tuesday
7th Annual Hispanic Film Series,Movie/Film,9/18/2018,Tuesday
Campus Kitchen Wednesday Delivery (1st shift),Service,9/19/2018,Wednesday
Transformational Leadership,Administration,9/19/2018,Wednesday
Using Canvas to Complete Pathways Ass...,Seminar/Conference,9/19/2018,Wednesday
Campus Kitchen Wedneday Delivery (2nd Shift),Service,9/19/2018,Wednesday
Art Exhibit: Community Narrative,Arts,9/19/2018,Wednesday
Walk or Talk Series: Mindfulness in the Garden,Special Event,9/19/2018,Wednesday
Information Session: EDCI 3954/5954: Informal Learning in Northern England (Study Abroad),Academic,9/19/2018,Wednesday
Virginia Tech Women's Club Welcome Reception,Club,9/19/2018,Wednesday
Career Scope 2018 - Reception/Meeting,Special Event,9/19/2018,Wednesday
KickStart VT LivePitch Finals,Entrepreneurship,9/19/2018,Wednesday
Campus Kitchen Thursday Delivery,Service,9/20/2018,Thursday
Career Scope 2018 - Career Fair,Special Event,9/20/2018,Thursday
Using Canvas to Complete Pathways Ass...,Seminar/Conference,9/20/2018,Thursday
Pathways Assessment: How to Prepare a...,Seminar/Conference,9/20/2018,Thursday
Staff Senate Meeting,Seminar/Conference,9/20/2018,Thursday
Art Exhibit: Community Narrative,Arts,9/20/2018,Thursday
"Villages of West Africa - Steven & Cathi House, House + House Architects",College of Architecture and Urban Studies,9/20/2018,Thursday
Minors Information Session,Academic,9/20/2018,Thursday
Between Indios and Indigenistas:  Disseminating Lettered Practices in the Andes,Academic,9/20/2018,Thursday
Opening Reception for Visiting Artist Willie Cole,Arts,9/20/2018,Thursday
VT in Spain Meeting,Academic,9/20/2018,Thursday
VT Evening MBA Information Session - ONLINE,National Capital Region,9/20/2018,Thursday
Spieleabend (German Game Night),Club,9/20/2018,Thursday
#VTDITC vol 10: Intro to DJing & Fair Use,Music/Theatre/Dance,9/20/2018,Thursday
#VTDITC vol 10: Intro to DJing & Fair Use,Music/Theatre/Dance,9/20/2018,Thursday
Effective Meetings,Administration,9/21/2018,Friday
Art Exhibit: Community Narrative,Arts,9/21/2018,Friday
Sheep Field Day and Forage-based Ram Sale,Service,9/21/2018,Friday
Feeding America service trip,Service,9/21/2018,Friday
Handling Difficult Conversations in t...,Seminar/Conference,9/21/2018,Friday
Campus Kitchen Friday Delivery,Service,9/21/2018,Friday
Classics Club Meeting,Club,9/21/2018,Friday
Beer Pairing Dinner - SOLD OUT,Special Event,9/21/2018,Friday
'Histoire du Soldat' by Igor Stravinsky,Music/Theatre/Dance,9/21/2018,Friday
Apple Ridge Farm service trip,Service,9/22/2018,Saturday
Plenty! Farm & Food Bank service trip,Service,9/22/2018,Saturday
Art Exhibit: Community Narrative,Arts,9/22/2018,Saturday
Progeny Short Film Festival,Movie/Film,9/22/2018,Saturday
'Histoire du Soldat' by Igor Stravinsky,Music/Theatre/Dance,9/22/2018,Saturday
