Events,CategoryID,Date,Days
Art Exhibit: Community Narrative,Arts,9/23/2018,Sunday
2018 Commonwealth of Virginia Campaign Kick Off,Administration,9/24/2018,Monday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,9/24/2018,Monday
Campus Kitchen Monday Delivery,Service,9/24/2018,Monday
Art Exhibit: Community Narrative,Arts,9/24/2018,Monday
Foodshed Field School: Manejo de Plagas y Salud del Suelo (Spanish only) ,Special Event,9/24/2018,Monday
Pathways Assessment: How to Prepare a...,Seminar/Conference,9/24/2018,Monday
CNRE Career Fair Reception,Special Event,9/24/2018,Monday
Study Abroad Week Event: Study Abroad 101 Presentation ,Special Event,9/24/2018,Monday
CNRE Career Fair,Special Event,9/25/2018,Tuesday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,9/25/2018,Tuesday
Campus Kitchen Tuesday Delivery,Service,9/25/2018,Tuesday
Managing Conflict,Administration,9/25/2018,Tuesday
Healthy Land for Healthy Horses,Seminar/Conference,9/25/2018,Tuesday
Creating Content with Screen Recordin...,Seminar/Conference,9/25/2018,Tuesday
WEBINAR: Turfgrass Tuesday - Promoting Bluebirds,Seminar/Conference,9/25/2018,Tuesday
Using Canvas to Complete Pathways Ass...,Seminar/Conference,9/25/2018,Tuesday
Art Exhibit: Community Narrative,Arts,9/25/2018,Tuesday
Coffee Hour Conversation with Jack Levin,Academic,9/25/2018,Tuesday
PPE Reading Group,Academic,9/25/2018,Tuesday
Violence of Hate,Academic,9/25/2018,Tuesday
Dr. Annette Vee,Special Event,9/25/2018,Tuesday
Women in STEM,Academic,9/25/2018,Tuesday
Study Abroad Week Event: Funding your Study Abroad: Scholarships and Grants Student Panel,Special Event,9/25/2018,Tuesday
7th Annual Hispanic Film Series,Movie/Film,9/25/2018,Tuesday
"""Decision Height"" by Meredith Dayna Levy ",Music/Theatre/Dance,9/25/2018,Tuesday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,9/26/2018,Wednesday
Campus Kitchen Wednesday Delivery (1st shift),Service,9/26/2018,Wednesday
Campus Kitchen Wedneday Delivery (2nd Shift),Service,9/26/2018,Wednesday
Majors Fair,Academic,9/26/2018,Wednesday
Global Education Fall Fair,Academic,9/26/2018,Wednesday
Has Ageism Declined?,Academic,9/26/2018,Wednesday
OAE: Certificate Assessment Planning,Seminar/Conference,9/26/2018,Wednesday
Art Exhibit: Community Narrative,Arts,9/26/2018,Wednesday
Walk or Talk Series: Meet the Artist Gerri Young,Special Event,9/26/2018,Wednesday
Evening MBA Information Session - Falls Church,National Capital Region,9/26/2018,Wednesday
Growing Industrial Hemp in the Shenandoah Valley,Seminar/Conference,9/26/2018,Wednesday
Reading by Author Steve Tomasula,Special Event,9/26/2018,Wednesday
"""Decision Height"" by Meredith Dayna Levy ",Music/Theatre/Dance,9/26/2018,Wednesday
Venture Builders Workshop: Elevator Pitches,Entrepreneurship,9/26/2018,Wednesday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,9/27/2018,Thursday
Campus Kitchen Thursday Delivery,Service,9/27/2018,Thursday
Dimensions of Management for Successful Leaders,Administration,9/27/2018,Thursday
How Muslims Have Imagined Life in the Universe,Academic,9/27/2018,Thursday
Creating and Managing Online Groupwork,Seminar/Conference,9/27/2018,Thursday
Art Exhibit: Community Narrative,Arts,9/27/2018,Thursday
Land Use and Brazil's Challenges in the Global Climate Change Agenda,Seminar/Conference,9/27/2018,Thursday
Tools and Strategies for Interaction ...,Seminar/Conference,9/27/2018,Thursday
Corps Lab speaker: Blacksburg Police Chief Anthony Wilson,Corps,9/27/2018,Thursday
Living and Learning Abroad Exhibit Opening Reception,Academic,9/27/2018,Thursday
Frida Kahlo and Other Tormented Icons of Contemporary Mexican Lit and Culture,Academic,9/27/2018,Thursday
Low Stress Weaning Workshop,Seminar/Conference,9/27/2018,Thursday
Gallery Talk: Brian Britt on John Brown,Academic,9/27/2018,Thursday
Study Abroad Week Event: What I did last Summer 2018 Student Panel,Special Event,9/27/2018,Thursday
Multiple Blindings: American Urban Illuminations,Seminar/Conference,9/27/2018,Thursday
Women in STEM,Academic,9/27/2018,Thursday
"""Decision Height"" by Meredith Dayna Levy ",Music/Theatre/Dance,9/27/2018,Thursday
Payday,Administration,9/28/2018,Friday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,9/28/2018,Friday
Art Exhibit: Community Narrative,Arts,9/28/2018,Friday
Pulaski Grow service trip,Service,9/28/2018,Friday
Feeding America service trip,Service,9/28/2018,Friday
"""What is it to be human?: Philosophical Anthropology in Late-Twentieth Century Architectural Theory.""",Special Event,9/28/2018,Friday
Using Canvas to Complete Pathways Ass...,Seminar/Conference,9/28/2018,Friday
Campus Kitchen Friday Delivery,Service,9/28/2018,Friday
2018 Distinguished Marjorie Grene Speaker: Katherine Brading (Duke University),Academic,9/28/2018,Friday
Classics Club Meeting,Club,9/28/2018,Friday
Study Abroad Week Event: Semester-long and beyond Student Panel,Special Event,9/28/2018,Friday
Virginia Tech Trumpet Festival 2018,Music/Theatre/Dance,9/28/2018,Friday
"""Decision Height"" by Meredith Dayna Levy ",Music/Theatre/Dance,9/28/2018,Friday
Caldwell March,Corps,9/29/2018,Saturday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,9/29/2018,Saturday
Apple Ridge Farm service trip,Service,9/29/2018,Saturday
Fall Gardening Workshop,Seminar/Conference,9/29/2018,Saturday
Art Exhibit: Community Narrative,Arts,9/29/2018,Saturday
