Events,CategoryID,Date,Days
Art Exhibit: Community Narrative,Arts,8/26/2018,Sunday
The Residential College at West Ambler Johnston's 7th Annual Aims of Education Address,Academic,8/26/2018,Sunday
Career Outfitters,Special Event,8/27/2018,Monday
Art Exhibit: Community Narrative,Arts,8/27/2018,Monday
"Professional and Scholarship Development Series - Introduction to Scholarships, Fellowships, Grants, and Opportunities for Students",Academic,8/27/2018,Monday
On-Farm Twilight Vegetable Meeting,Seminar/Conference,8/27/2018,Monday
7th International Symposium on Naturalistic Driving Research,Academic,8/28/2018,Tuesday
Blood Drive,Service,8/28/2018,Tuesday
Career Outfitters Day 2,Special Event,8/28/2018,Tuesday
Art Exhibit: Community Narrative,Arts,8/28/2018,Tuesday
Semester Internship designed as a Field Study,Academic,8/28/2018,Tuesday
Orchard Twilight Meeting: West Oaks Farm Market,Research,8/28/2018,Tuesday
Teach for Jamie Interest Meeting,Club,8/28/2018,Tuesday
7th International Symposium on Naturalistic Driving Research,Academic,8/29/2018,Wednesday
Art Exhibit: Community Narrative,Arts,8/29/2018,Wednesday
NC140 Rootstock Research Orchard Meeting at Saunders Brothers,Research,8/29/2018,Wednesday
Hokie Hello Picnic,Special Event,8/29/2018,Wednesday
Fall Entrepreneurship Kickoff,Entrepreneurship,8/29/2018,Wednesday
Conservation Easements 101 Workshop,Seminar/Conference,8/29/2018,Wednesday
7th International Symposium on Naturalistic Driving Research,Academic,8/30/2018,Thursday
Art Exhibit: Community Narrative,Arts,8/30/2018,Thursday
Pumpkin Field Day - Riner,Special Event,8/30/2018,Thursday
University Libraries Graduate Student Orientation,Academic,8/30/2018,Thursday
Payday,Administration,8/31/2018,Friday
Evaluating Professional Development a...,Seminar/Conference,8/31/2018,Friday
Zoom Essentials,Seminar/Conference,8/31/2018,Friday
Art Exhibit: Community Narrative,Arts,8/31/2018,Friday
Gobblerfest,Special Event,8/31/2018,Friday
The Center for Humanities Launch,Special Event,8/31/2018,Friday
Classics Club Meeting,Club,8/31/2018,Friday
2nd Annual Pumpkin Management Field Day,Seminar/Conference,8/31/2018,Friday
"Books, Bugs, and Garden Slugs! Registration Deadline",Special Event,8/31/2018,Friday
Virginia Tech Sheep Center's 19th Annual Production Sale,Service,9/1/2018,Saturday
Art Exhibit: Community Narrative,Arts,9/1/2018,Saturday
