Events,CategoryID,Date,Days
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/4/2018,Sunday
Ellen Cheever in Her Own Words,Academic,11/4/2018,Sunday
Hybrid Retirement Plan: Features and benefits,Administration,11/4/2018,Sunday
Poe's Shadows: An Immersive Theatrical Installation,Music/Theatre/Dance,11/4/2018,Sunday
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/4/2018,Sunday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/5/2018,Monday
Ellen Cheever in Her Own Words,Academic,11/5/2018,Monday
Campus Kitchen Monday Delivery,Service,11/5/2018,Monday
"Moss Arts Center Exhibition: ""SWARM""",Arts,11/5/2018,Monday
"Moss Arts Center Exhibition: ""Multiply""",Arts,11/5/2018,Monday
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/5/2018,Monday
Inclusive Communities for All,Academic,11/5/2018,Monday
Homefield Farm Pop-up Farm Stand,Special Event,11/5/2018,Monday
Professional and Scholarship Development Series - Current world events and how they impact your field,Academic,11/5/2018,Monday
Roommate Mixer,Special Event,11/5/2018,Monday
"Virginia Master Cattlemen's Program - 7 modules, 7 dates",Seminar/Conference,11/5/2018,Monday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/6/2018,Tuesday
Ellen Cheever in Her Own Words,Academic,11/6/2018,Tuesday
Campus Kitchen Tuesday Delivery,Service,11/6/2018,Tuesday
Turning Performance Problems Around,Administration,11/6/2018,Tuesday
Beef Export Verification and Opportunities Seminar,Seminar/Conference,11/6/2018,Tuesday
"Moss Arts Center Exhibition: ""SWARM""",Arts,11/6/2018,Tuesday
"Moss Arts Center Exhibition: ""Multiply""",Arts,11/6/2018,Tuesday
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/6/2018,Tuesday
Boren Awards brown bag lunch for faculty ,Academic,11/6/2018,Tuesday
Marimba Music of Japan,Music/Theatre/Dance,11/6/2018,Tuesday
Marimba Music of Japan presented by Kana Omori,Music/Theatre/Dance,11/6/2018,Tuesday
Using Illustrator,Seminar/Conference,11/6/2018,Tuesday
Boren Awards student info session,Academic,11/6/2018,Tuesday
PPE Reading Group,Academic,11/6/2018,Tuesday
Student Event Series: We all love succulents!,Special Event,11/6/2018,Tuesday
VT Summer Study in India Info Session,Academic,11/6/2018,Tuesday
Campus-Community Emergency Response Team Training,Service,11/6/2018,Tuesday
Great Music from the World of Ballet,Music/Theatre/Dance,11/6/2018,Tuesday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/7/2018,Wednesday
Campbell County Cattlemen's Association Farm Bus Tour,Special Event,11/7/2018,Wednesday
Ellen Cheever in Her Own Words,Academic,11/7/2018,Wednesday
Campbell County Cattlemen's Association Farm Bus Tour,Special Event,11/7/2018,Wednesday
Campus Kitchen Wednesday Delivery (1st shift),Service,11/7/2018,Wednesday
Campus Kitchen Wedneday Delivery (2nd Shift),Service,11/7/2018,Wednesday
"Moss Arts Center Exhibition: ""SWARM""",Arts,11/7/2018,Wednesday
"Moss Arts Center Exhibition: ""Multiply""",Arts,11/7/2018,Wednesday
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/7/2018,Wednesday
Dan Shahar,Academic,11/7/2018,Wednesday
Content Creation Tips and Tricks for ...,Seminar/Conference,11/7/2018,Wednesday
Mingle Like You Mean It,Special Event,11/7/2018,Wednesday
VT Summer Study in India Info Session,Academic,11/7/2018,Wednesday
"Angels in America, Part One: Millennium Approaches, by Tony Kushner",Music/Theatre/Dance,11/7/2018,Wednesday
Venture Builders Workshop: Persistence and Pivots,Entrepreneurship,11/7/2018,Wednesday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/8/2018,Thursday
Ellen Cheever in Her Own Words,Academic,11/8/2018,Thursday
Campbell County Cattlemen's Association Farm Bus Tour,Special Event,11/8/2018,Thursday
Campus Kitchen Thursday Delivery,Service,11/8/2018,Thursday
"Moss Arts Center Exhibition: ""SWARM""",Arts,11/8/2018,Thursday
"Moss Arts Center Exhibition: ""Multiply""",Arts,11/8/2018,Thursday
Modularizing Your Course in Canvas - ...,Seminar/Conference,11/8/2018,Thursday
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/8/2018,Thursday
Recognizing women's needs: a key in agriculture production and food security,Academic,11/8/2018,Thursday
Faculty Lecture Series: Joseph Bedford,College of Architecture and Urban Studies,11/8/2018,Thursday
Templates for Canvas in the Online an...,Seminar/Conference,11/8/2018,Thursday
Minors Information Session,Academic,11/8/2018,Thursday
Corps of Cadets Speaker: Author Evan Offstein,Corps,11/8/2018,Thursday
VT in Puebla Information Meeting,Academic,11/8/2018,Thursday
Catholicism and Modernity: The Case of Frida Kahlo and Her Use of Retablo,Academic,11/8/2018,Thursday
New Cattle Marketing Opportunity,Seminar/Conference,11/8/2018,Thursday
"An Evening with Bela Fleck, banjo; Zakir Hussain, tabla; and Edgar Meyer, bass",Arts,11/8/2018,Thursday
"Angels in America, Part One: Millennium Approaches, by Tony Kushner",Music/Theatre/Dance,11/8/2018,Thursday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/9/2018,Friday
Ellen Cheever in Her Own Words,Academic,11/9/2018,Friday
Campbell County Cattlemen's Association Farm Bus Tour,Special Event,11/9/2018,Friday
"Moss Arts Center Exhibition: ""SWARM""",Arts,11/9/2018,Friday
"Moss Arts Center Exhibition: ""Multiply""",Arts,11/9/2018,Friday
